Employee_ID,First_Name,Last_Name,Age,Gender,Department,City,Salary,Experience_Years,Performance_Score,Education,Join_Date,Remote_Work,Bonus
EMP1000,Sara,Sharma,41.0,Female,HR,PUNE,89286.45,17.0,5.5,Bachelor,2021-08-15,Yes,10177.61
EMP1001,Priya,Sharma,27.0,Male,SALES,HYDERABAD,93021.86,34.0,4.8,Diploma,2021-08-10,Yes,16379.18
EMP1002,Nikhil,Singh,49.0,Female,HR,BANGALORE,33810.86,6.0,4.2,PhD,2021-10-08,Yes,16335.44
EMP1003,Vikram,Verma,29.0,Female,SALES,PUNE,109117.92,23.0,6.2,Bachelor,2015-07-07,No,15688.3
EMP1004,Raj,Kumar,28.0,Female,MARKETING,DELHI,58750.72,17.0,7.3,Bachelor,2021-10-31,No,11148.66
EMP1005,Pooja,Singh,41.0,Female,OPERATIONS,PUNE,105070.93,3.0,3.1,Bachelor,2024-01-11,No,8622.13
EMP1006,Raj,Kumar,58.0,Female,OPERATIONS,CHENNAI,68590.93,16.0,2.3,PhD,2023-05-18,Yes,18058.63
EMP1007,Rohit,Gupta,36.0,Male,MARKETING,MUMBAI,39519.93,10.0,8.1,Diploma,2021-09-08,No,8310.58
EMP1008,Divya,Mehta,55.0,Female,IT,PUNE,96333.39,21.0,2.0,Diploma,2016-10-09,No,1061.66
EMP1009,Karan,Verma,33.0,Male,OPERATIONS,DELHI,97438.53,34.0,9.6,Bachelor,2021-09-19,No,10283.51
EMP1010,Sara,Gupta,41.0,Male,HR,MUMBAI,78426.67,31.0,8.3,Master,2016-06-09,No,10177.61
EMP1011,Kavya,Singh,38.0,Female,SALES,PUNE,62904.27,23.0,4.9,Diploma,2016-05-10,No,5269.25
EMP1012,Arjun,Sharma,57.0,Male,HR,MUMBAI,84954.78,17.0,3.1,Bachelor,2024-08-22,No,2346.29
EMP1013,Pooja,Joshi,41.0,Female,SALES,PUNE,79740.11,15.0,8.1,Diploma,2017-02-18,No,2841.69
EMP1014,Sneha,Gupta,49.0,Female,OPERATIONS,PUNE,118495.7,6.0,1.5,PhD,2023-12-24,No,5724.47
EMP1015,Ravi,Verma,41.0,Male,HR,CHENNAI,108076.17,4.0,5.5,Diploma,2024-01-23,No,1961.18
EMP1016,Kavya,Sharma,27.0,Male,MARKETING,CHENNAI,107141.79,3.0,2.5,Bachelor,2019-05-19,Yes,18603.84
EMP1017,Vikram,Joshi,49.0,Female,HR,DELHI,80022.13,34.0,1.5,PhD,2015-08-23,Yes,12099.37
EMP1018,Suresh,Verma,32.0,Male,IT,MUMBAI,31456.28,15.0,4.6,Master,2021-06-29,Yes,12768.25
EMP1019,Sneha,Nair,58.0,Female,HR,DELHI,62599.66,19.0,5.1,Bachelor,2015-02-08,No,12802.03
EMP1020,Manish,Patel,26.0,Male,FINANCE,BANGALORE,108530.67,23.0,3.6,Diploma,2024-05-08,Yes,10177.61
EMP1021,Divya,Verma,22.0,Female,HR,MUMBAI,95529.58,9.0,3.5,Master,2023-01-18,No,4868.35
EMP1022,Karan,Verma,41.0,Female,IT,BANGALORE,25336.84,8.0,6.7,PhD,2016-10-23,No,11481.93
EMP1023,Sneha,Verma,22.0,Male,OPERATIONS,HYDERABAD,104286.53,35.0,2.3,Master,2015-06-21,Yes,7928.38
EMP1024,Priya,Gupta,35.0,Male,FINANCE,HYDERABAD,39682.57,17.0,9.4,Master,2023-12-21,No,17746.91
EMP1025,Nikhil,Singh,43.0,Female,FINANCE,PUNE,156248.13624999998,2.0,8.7,Master,2017-03-28,No,7643.51
EMP1026,Pooja,Kumar,41.0,Male,MARKETING,BANGALORE,116854.46,17.0,4.2,Diploma,2022-08-15,No,18845.51
EMP1027,Sara,Joshi,33.0,Female,IT,BANGALORE,99710.68,27.0,6.5,Bachelor,2019-04-27,No,5839.73
EMP1028,Sneha,Sharma,55.0,Male,MARKETING,PUNE,84199.76,7.0,7.5,PhD,2020-09-08,Yes,13670.97
EMP1029,Arjun,Shah,40.0,Male,MARKETING,PUNE,110766.53,19.0,4.7,Bachelor,2018-05-29,Yes,4993.47
EMP1030,Manish,Nair,42.0,Female,MARKETING,HYDERABAD,78426.67,10.0,5.5,Bachelor,2018-03-08,No,10177.61
EMP1031,Raj,Kumar,41.0,Male,HR,MUMBAI,118473.92,4.0,5.1,Master,2023-01-21,Yes,10393.17
EMP1032,Pooja,Singh,22.0,Male,HR,PUNE,69132.24,35.0,3.2,Bachelor,2020-02-13,No,16226.92
EMP1033,Suresh,Verma,42.0,Female,OPERATIONS,HYDERABAD,110234.77,30.0,5.1,Master,2024-06-02,Yes,15550.46
EMP1034,Suresh,Mehta,37.0,Female,IT,DELHI,56905.52,34.0,1.7,Master,2017-08-05,Yes,14185.05
EMP1035,Ravi,Patel,48.0,Female,SALES,CHENNAI,44649.27,26.0,4.5,Bachelor,2024-08-10,Yes,10062.61
EMP1036,Meera,Joshi,46.0,Female,OPERATIONS,CHENNAI,50928.85,17.0,5.4,Diploma,2018-10-08,Yes,14759.45
EMP1037,Vikram,Singh,56.0,Male,SALES,MUMBAI,65718.21,29.0,2.6,PhD,2019-04-02,No,5021.55
EMP1038,Arjun,Gupta,46.0,Female,FINANCE,CHENNAI,96157.3,3.0,10.0,PhD,2017-07-07,No,15843.43
EMP1039,Priya,Sharma,41.0,Male,IT,DELHI,69988.3,7.0,6.1,Master,2020-03-19,Yes,15571.06
EMP1040,Neha,Nair,29.0,Male,IT,BANGALORE,89347.99,24.0,4.6,Master,2015-11-08,No,10177.61
EMP1041,Sara,Joshi,29.0,Male,SALES,PUNE,31550.89,21.0,1.1,Diploma,2024-03-22,No,3005.24
EMP1042,Meera,Mehta,31.0,Female,OPERATIONS,HYDERABAD,98590.94,29.0,4.9,PhD,2018-08-13,No,16783.89
EMP1043,Raj,Joshi,50.0,Male,SALES,BANGALORE,71959.12,20.0,2.6,Master,2018-12-24,Yes,7466.44
EMP1044,Divya,Joshi,57.0,Male,HR,DELHI,63610.67,35.0,7.8,Diploma,2022-03-30,No,9515.32
EMP1045,Nikhil,Patel,40.0,Male,OPERATIONS,BANGALORE,80247.78,30.0,5.5,PhD,2019-10-09,No,7684.4
EMP1046,Vikram,Joshi,41.0,Female,IT,BANGALORE,95573.7,11.0,2.7,Diploma,2018-02-06,Yes,19629.7
EMP1047,Ravi,Joshi,41.0,Female,FINANCE,PUNE,37025.38,2.0,9.8,PhD,2022-10-27,No,13119.52
EMP1048,Anjali,Patel,22.0,Female,MARKETING,BANGALORE,116722.28,17.0,3.3,Diploma,2016-04-12,No,8613.44
EMP1049,Raj,Nair,25.0,Male,SALES,MUMBAI,36252.9,26.0,6.5,Master,2023-09-13,Yes,9559.77
EMP1050,Vikram,Joshi,49.0,Female,SALES,HYDERABAD,34427.19,13.0,6.6,PhD,2022-05-29,No,10177.61
EMP1051,Neha,Kumar,33.0,Male,IT,CHENNAI,81412.06,18.0,1.3,PhD,2022-12-05,Yes,14356.76
EMP1052,Vikram,Patel,41.0,Male,OPERATIONS,CHENNAI,76733.43,9.0,9.2,Master,2015-10-20,Yes,4152.53
EMP1053,Deepa,Nair,58.0,Female,IT,PUNE,91474.7,17.0,5.5,Diploma,2019-11-29,No,12362.7
EMP1054,Sneha,Gupta,38.0,Male,HR,PUNE,79743.46,11.0,5.2,Diploma,2018-02-13,No,19941.96
EMP1055,Sneha,Mehta,27.0,Female,MARKETING,BANGALORE,78426.67,6.0,8.7,PhD,2019-08-14,No,6476.14
EMP1056,Rohit,Verma,24.0,Female,FINANCE,BANGALORE,117167.55,25.0,8.8,Bachelor,2022-05-17,No,8851.7
EMP1057,Ravi,Verma,45.0,Female,IT,BANGALORE,37446.26,18.0,4.9,Diploma,2016-05-12,Yes,19489.79
EMP1058,Divya,Kumar,32.0,Female,IT,MUMBAI,119264.43,7.0,5.2,Bachelor,2022-04-07,No,10469.13
EMP1059,Deepa,Verma,39.0,Female,MARKETING,CHENNAI,38740.99,12.0,9.3,Master,2024-09-09,No,6248.7
EMP1060,Sneha,Gupta,54.0,Female,FINANCE,HYDERABAD,119895.72,17.0,5.5,Diploma,2024-09-14,No,10177.61
EMP1061,Vikram,Verma,52.0,Female,SALES,CHENNAI,107612.16,15.0,6.1,Master,2024-08-07,Yes,1829.3
EMP1062,Anjali,Shah,46.0,Male,IT,HYDERABAD,56539.5,6.0,8.9,Diploma,2016-02-13,No,1291.6
EMP1063,Amit,Shah,31.0,Male,FINANCE,HYDERABAD,62760.92,5.0,8.7,Diploma,2018-07-21,No,17575.28
EMP1064,Priya,Nair,26.0,Male,HR,CHENNAI,97235.12,6.0,5.0,PhD,2015-04-29,Yes,7163.12
