Employee_ID,First_Name,Last_Name,Age,Gender,Department,City,Salary,Experience_Years,Performance_Score,Education,Join_Date,Remote_Work,Bonus
EMP1000,Sara,Sharma,,female,hr,PUNE,89286.45,,,Bachelor,2021-08-15,Y,
EMP1001,Priya,Sharma,27,male,SALES,HYDERABAD,93021.86,34.0,4.8,Diploma,2021-08-10,YES,16379.18
EMP1002,Nikhil,Singh,49,F,hr,BANGALORE,33810.86,6.0,4.2,PhD,2021-10-08,YES,16335.44
EMP1003,Vikram,Verma,29,FEMALE,Sales,Pune,109117.92,23.0,6.2,Bachelor,2015-07-07,no,15688.3
EMP1004,Raj,Kumar,28,F,Marketing,delhi,58750.72,17.0,7.3,Bachelor,2021-10-31,yes,11148.66
EMP1005,Pooja,Singh,N/A,F,operations,pune,105070.93,3.0,3.1,Bachelor,2024-01-11,NO,8622.13
EMP1006,Raj,Kumar,58,female,Operations,Chennai,68590.93,16.0,2.3,PhD,2023-05-18,Y,18058.63
EMP1007,Rohit,Gupta,36,M.,MARKETING,MUMBAI,39519.93,10.0,8.1,Diploma,2021-09-08,No,8310.58
EMP1008,Divya,Mehta,55,F.,IT,Pune,96333.39,21.0,2.0,Diploma,2016-10-09,N,1061.66
EMP1009,Karan,Verma,33,M,operations,delhi,97438.53,34.0,9.6,Bachelor,2021-09-19,NO,10283.51
EMP1010,Sara,Gupta,41,MALE,HR,Mumbai,,31.0,8.3,Master,2016-06-09,N,
EMP1011,Kavya,Singh,38,female,sales,pune,62904.27,23.0,4.9,Diploma,2016-05-10,no,5269.25
EMP1012,Arjun,Sharma,57,M.,HR,Mumbai,84954.78,,3.1,Bachelor,2024-08-22,NO,2346.29
EMP1013,Pooja,Joshi,,female,sales,Pune,79740.11,15.0,8.1,Diploma,2017-02-18,No,2841.69
EMP1014,Sneha,Gupta,49,Female,OPERATIONS,Pune,118495.7,6.0,1.5,PhD,2023-12-24,No,5724.47
EMP1015,Ravi,Verma,-10,Male,HR,CHENNAI,108076.17,4.0,,Diploma,2024-01-23,No,1961.18
